SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(N4CCCCCC)C(C5=C4C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C5)=C3)C=C1,-4.65,-1.85,13.7,0.84,0.59,7.5,15.8,0.92,0.69,11.2,10.1007/s10854-017-7691-y
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(N4CC)C(C5=C4C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C5)=C3)C=C1,-4.7,-1.93,18.6,0.88,0.59,10.8,15.8,0.92,0.69,11.2,10.1007/s10854-017-7691-y
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(N4C5=CC=CC=C5)C(C6=C4C=CC(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)=C6)=C3)C=C1,-4.68,-1.91,17.5,0.93,0.55,8.3,15.8,0.92,0.69,11.2,10.1007/s10854-017-7691-y
CSC(S/1)=C(SC)SC1=C\C(C=C2)=CC=C2N(C3=CC=C(N4C5=CC=CC=C5SC6=C4C=CC=C6)C=C3)C7=CC=C(N(C8=CC=CC=C8S9)C%10=C9C=CC=C%10)C=C7,-5.18,-2.11,16.61,0.75,0.63,4.11,22.08,1.03,0.71,16.07,10.1016/j.electacta.2017.10.085
CSC(S/1)=C(SC)SC1=C\C(C=C2)=CC=C2N(C3=CC=C(N4C5=CC=CC=C5C6=C4C=CC=C6)C=C3)C7=CC=C(N(C8=CC=CC=C89)C%10=C9C=CC=C%10)C=C7,-5.22,-2.16,19.72,1.06,0.72,14.81,22.08,1.03,0.71,16.07,10.1016/j.electacta.2017.10.085
C(OC(C1=CC=CC=C1)=C/2)(C3=CC=CC=C3)=CC2=C4C=C(C5=CC=CC=C5)OC(C6=CC=CC=C6)=C/4,-4.74,-2.84,19.51,0.93,0.55,10.5,18.95,1,0.58,11.8,10.1002/ente.201700448
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3N(C5=C4C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C8=CC9=CC=C(OCC%10=CC=CC=C%10)C(C%11=C%12C=CC(N%13C(C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%16)=C%16C%17=C%13C=CC(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)=C%17)=CC%12=CC=C%11OCC%20=CC=CC=C%20)=C9C=C8,-5.41,-2.13,15.82,0.95,0.69,10.37,17.75,1.01,0.56,10.06,10.1016/j.tet.2017.05.020
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3N(C5=C4C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C8=CC9=CC=C(OCCCCCC)C(C%10=C%11C=CC(N%12C(C=CC(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)=C%15)=C%15C%16=C%12C=CC(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)=C%16)=CC%11=CC=C%10OCCCCCC)=C9C=C8,-5.39,-2.33,15.3,0.92,0.63,8.87,17.75,1.01,0.56,10.06,10.1016/j.tet.2017.05.020
CCCCCCC(C1=C2C=CC([N+](C3=CC=C(OC)C=C3)(C)C4=CC=C(OC)C=C4)=C1)(CCCCCC)C5=C2C(C(CCCCCC)(CCCCCC)C6=C7C=CC(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)=C6)=C7C%10=C5C%11=CC=C([N+](C%12=CC=C(OC)C=C%12)(C)C%13=CC=C(OC)C=C%13)C=C%11C%10(CCCCCC)CCCCCC,-5.15,-,15.5,1.04,0.29,4.9,21.5,1.14,0.76,19.2,10.1021/acsami.7b05484
CCCCCC(C1=C2C=CC(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)=C1)(CCCCCC)C6=C2C(C(CCCCCC)(CCCCCC)C7=C8C=CC(C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)=C7)=C8C%12=C6C%13=CC=C(C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)C=C%13C%12(CCCCCC)CCCCCC.C,-5.24,-,14.4,1.05,0.26,4,21.5,1.14,0.76,19.2,10.1021/acsami.7b05485
